년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
May-96,서울경기,17,11.7,22.9
Jun-96,서울경기,21.4,18.1,25.8
Jul-96,서울경기,24,20.6,28.2
Aug-96,서울경기,25.7,22.3,30.2
Sep-96,서울경기,21.4,16.6,27.2
Oct-96,서울경기,14.2,9.1,19.7
Nov-96,서울경기,5.9,1.7,10.6
Dec-96,서울경기,1.3,-3.3,6.2
Jan-97,서울경기,-3.6,-8,1.4
Feb-97,서울경기,0,-4.9,5.6
Mar-97,서울경기,5.9,1.2,11.3
Apr-97,서울경기,11.7,6.8,17.4
May-97,서울경기,16.3,12.1,21.1
Jun-97,서울경기,22.3,17.9,27.5
Jul-97,서울경기,25.3,22.1,29.5
Aug-97,서울경기,26.2,22.6,30.7
Sep-97,서울경기,19.8,15.2,25.3
Oct-97,서울경기,13,7.4,18.9
Nov-97,서울경기,8.2,3.7,13.6
Dec-97,서울경기,1.4,-2.6,6
Jan-98,서울경기,-1.5,-5.5,3.1
Feb-98,서울경기,2.7,-1.8,7.7
Mar-98,서울경기,6.4,1.7,11.9
Apr-98,서울경기,14.4,10,20
May-98,서울경기,17.9,13.1,23.5
Jun-98,서울경기,20.9,17.1,25.5
Jul-98,서울경기,24.4,21.3,28.3
Aug-98,서울경기,24.8,21.8,28.8
Sep-98,서울경기,22.4,18.2,27.5
Oct-98,서울경기,16.5,11.9,21.9
Nov-98,서울경기,6.9,2.4,12.2
Dec-98,서울경기,1.6,-3,6.8
Jan-99,서울경기,-1.2,-5.6,3.6
Feb-99,서울경기,0.2,-4,4.9
Mar-99,서울경기,5.8,0.6,11.2
Apr-99,서울경기,12.6,7.5,18.5
May-99,서울경기,16.3,11.6,21.7
Jun-99,서울경기,21.8,17.5,27
Jul-99,서울경기,25,21.6,29.2
Aug-99,서울경기,25.4,21.9,29.9
Sep-99,서울경기,22.3,18.8,26.7
Oct-99,서울경기,13.7,9.4,18.8
Nov-99,서울경기,7.4,3.1,12.5
Dec-99,서울경기,0.1,-4.1,4.5
Jan-00,서울경기,-2.3,-6.1,1.6
Feb-00,서울경기,-2,-6.3,2.4
Mar-00,서울경기,5.5,0.7,10.9
Apr-00,서울경기,11.2,6.4,16.4
May-00,서울경기,16.6,12.3,21.7
Jun-00,서울경기,22.5,18.4,27.8
Jul-00,서울경기,26,22.7,30.4
Aug-00,서울경기,25.8,22.8,29.8
Sep-00,서울경기,20.4,16.8,24.7
Oct-00,서울경기,14.4,9.8,19.4
Nov-00,서울경기,6.4,1.8,11.3
Dec-00,서울경기,0.5,-3.8,5
01-Jan,서울경기,-4.5,-8.7,-0.4
01-Feb,서울경기,-0.9,-4.8,3.5
01-Mar,서울경기,4.3,0.1,9.2
01-Apr,서울경기,12.3,7.1,18.3
01-May,서울경기,17.9,13.5,23.5
01-Jun,서울경기,21.7,18.3,26.3
01-Jul,서울경기,25.2,22.4,29.2
01-Aug,서울경기,25.9,22.1,30.5
01-Sep,서울경기,21.9,17.1,27.5
01-Oct,서울경기,16,11.6,21.1
01-Nov,서울경기,6.6,2.1,11.6
01-Dec,서울경기,-0.9,-4.9,3.5
02-Jan,서울경기,-0.2,-3.8,3.8
02-Feb,서울경기,1.7,-2.6,6.6
02-Mar,서울경기,6.8,2.3,12
02-Apr,서울경기,12.9,7.9,18.3
02-May,서울경기,16.9,12.2,22.5
02-Jun,서울경기,21.1,16.7,26.4
02-Jul,서울경기,24.6,21.5,28.6
02-Aug,서울경기,23.7,20.9,27.4
02-Sep,서울경기,21,16.9,26
02-Oct,서울경기,12.3,7.7,17.6
02-Nov,서울경기,3.5,-0.9,7.9
02-Dec,서울경기,1,-3,5.2
03-Jan,서울경기,-3.2,-7.1,1
03-Feb,서울경기,1.7,-2.3,6.2
03-Mar,서울경기,5.6,1.3,10.2
03-Apr,서울경기,12.3,7.8,17.4
03-May,서울경기,18.4,13.2,24.3
03-Jun,서울경기,20.7,17.2,25.1
03-Jul,서울경기,23.3,20.2,27.4
03-Aug,서울경기,23.7,20.7,27.4
03-Sep,서울경기,20.6,17,25.1
03-Oct,서울경기,13.8,9,19.3
03-Nov,서울경기,9,5,13.5
03-Dec,서울경기,0.4,-3.6,4.6
04-Jan,서울경기,-2.1,-6,2.3
04-Feb,서울경기,1.8,-2.6,6.8
04-Mar,서울경기,5.5,0.7,10.8
04-Apr,서울경기,12,7,17.7
04-May,서울경기,16.5,12.5,21.4
04-Jun,서울경기,22,17.9,27.1
04-Jul,서울경기,24,21.5,27.3
04-Aug,서울경기,25.5,22.1,30
04-Sep,서울경기,21.2,17,26.3
04-Oct,서울경기,14.6,9.2,20.8
04-Nov,서울경기,8.7,4.3,13.7
04-Dec,서울경기,1.7,-2.4,6.4
05-Jan,서울경기,-2.5,-6.7,2.4
05-Feb,서울경기,-1.8,-6,2.9
05-Mar,서울경기,4,-0.4,9.2
05-Apr,서울경기,12.4,7.5,18
05-May,서울경기,17,11.9,23
05-Jun,서울경기,21.8,18.3,26.6
05-Jul,서울경기,24.7,22,28.6
05-Aug,서울경기,24.8,22,28.7
05-Sep,서울경기,21.5,18,26.1
05-Oct,서울경기,14.3,9.7,19.8
05-Nov,서울경기,8.2,3.6,13.1
05-Dec,서울경기,-4,-8,0.2
06-Jan,서울경기,-0.7,-4.3,3.5
06-Feb,서울경기,-0.3,-4.6,4.2
06-Mar,서울경기,4.7,0.2,9.7
06-Apr,서울경기,11,6.9,15.7
06-May,서울경기,17.5,13.1,22.7
06-Jun,서울경기,20.8,17.2,25.4
06-Jul,서울경기,22.8,20.5,25.9
06-Aug,서울경기,26.6,23.3,30.9
06-Sep,서울경기,20.8,16.4,25.7
06-Oct,서울경기,17.4,13.1,22.6
06-Nov,서울경기,8.4,4.1,12.7
06-Dec,서울경기,1.2,-2.7,5.6
07-Jan,서울경기,0,-3.9,4.3
07-Feb,서울경기,3.4,-1,8.5
07-Mar,서울경기,5.8,1.6,10.2
07-Apr,서울경기,10.8,6.7,15.5
07-May,서울경기,17.1,12.7,22.1
07-Jun,서울경기,22.2,18.2,26.7
07-Jul,서울경기,23.5,20.7,27.1
07-Aug,서울경기,25.8,23.2,29.2
07-Sep,서울경기,21.3,18.2,24.9
07-Oct,서울경기,14.7,10.7,19.6
07-Nov,서울경기,6.4,2,11.4
07-Dec,서울경기,1.7,-2,5.8
08-Jan,서울경기,-1.9,-5.8,2
08-Feb,서울경기,-1.3,-5.8,3.2
